Objeto,Categoria
"Contratação de empresa de engenharia para elaboração dos projetos básico, do projeto executivo e da execução da obra de construção de coberturas de policarbonato, inclusive fundações e estrutura metálica, na unidade Barra do Campus Muriaé",10101
CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO DE OBRAS DE INFRAESTRUTURA PARA PAVIMENTAÇÃO DO C,10205
CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA ELABORAÇÃO DE PROJETO EXECUTIVO DE DISSIPADOR HIDRÁULICO EM GABIÕES E RECUPERAÇÃO DO TALUDE DO BARRAMENTO DO BALNEÁRIO DO MUNICÍPIO DE QUATÁ.,30101
"CONTRATAÇÃODE EMPRESA ESPECIALIZADA PARA O RESTABELECIMENTO DO FUNCIONAMENTO DA ESTAÇÃO DE TRATAMENTO DE ESGOTO - ETE DE BOM JESUS DOS PERDÕES/SP, COM A AQUISIÇÃO DE PEÇAS, MÃO - DE - OBRAS INCLUSAS, MATERIAIS E AFINS * https://bllcompras.com *",10209
OBRAS DE URBANIZAÇÃO E INFRAESTRUTURA NA FAVELA ESTRADA DO CATONHO I - PICA-PAU / TAQUARA - JACAREPAGUÁ.,10205
"EXECUÇÃO DA OBRA DE DRENAGEM DE ÁGUA PLUVIAIS DA AVENIDA GOV. DANTE MARTINS DE OLIVEIRA, EM ATENDIMENTO DA SECRETARIA MUNICIPAL DE URBANISMO, DESTE MUNICÍPIO DE APIACÁS-MT",10205
Reforma do piso de concreto armado para a Unidade Interlagos. https://portallc.sescsp.org.br/Default.aspx,10101
Contratação de Empresa para prestação do serviço de execução da obra da EXECUÇÃO DE FORRO E PISO NO PRÉDIO DA CÂMARA MUNICIPAL DE CURUÇÁ-PA.,10110
"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA ALARGAMENTO DA ESTRADA MUNICIPAL ARCENIRIO PICHEK, SENDO: EXECUÇÃO DE PAVIMENTAÇÃO ASFÁLTICA DE ESTRADA VICINAL MUNICIPAL EM CBUQ, COM ÁREA DE 26.856,46M², INCLUINDO SERVI-ÇOS PRELIMINARES, TERRAPLENAGE...",10201
"Obras de Revitalização de Quadra, Muro de Fecho e Paisagismo - Rua Floriano Arresti, 52 - Guaianases.",10205
"- Contratação de empresa especializada em obras civis para construção de muro de fechamento e calçada da nova unidade de saúde L.P. Pereira, no município de Divinópolis, Minas Gerais, conforme edital e seus anexos. * www.compras.gov.br *",10307
- Reforma da UNIDADE BÁSICA DE SAÚDE de Dona Francisca * www.compras.gov.br *,10101
"- Contratação de empresa para Construção da Pista de Pump Track da Vila A, em atendimento à Emenda de Execução Obrigatória de n¨ 132/2021, de acordo com as especificações detalhadas no Projeto Básico, do Edital e seus anexos. * www.compras.g...",10205
- Contratação de empresa especializada em execução de obras de engenharia para executar serviços construção da nova Escola Agenor de Souza Lé na Comunidade de Criciúma do Município de Ibatiba/ES. * www.compras.gov.br *,10101
"Contratação de empresa especializada p/ construção de cobertura metálica na praça São Vicente, c/ fornecimento de materiais e mão de obra",10205
"Contratação de empresa especializada para execução da construção da praça do Forum, localizada na sede do município de Xique-Xique-BA",10205
- Contratação de empresa par reforma e ampliação da escola de ensino fundamental santa filomena cidade de monteiro/pb * www.compras.gov.br *,10101
- Contratação de empresa par reforma e ampliação da e.m.e.f. escola profa. adalice remígio gomes na cidade de monteiro/pb. * www.compras.gov.br *,10101
- Contratação de empresa para construção do parque de eventos dejinha de monteiro etapa 01 * www.compras.gov.br *,10205
"- Contratação de Empresa Especializada em Construção Civil Para Reforma da Casa da Cultura e Museu Antropológico e Etnográfico de Paranavaí, Localizado na R. Miljutin Cogei, S/N, Centro, CEP 87.701-090, Paranavaí Paraná. * www.compras.gov.br *",10101
"- Contratação de empresa especializada em obras civis para troca e reforma do telhado e piso da Unidade de Saúde Danilo Passos, no município de Divinópolis, Minas Gerais. * www.compras.gov.br *",10110
- Contratação de empresa especializada para construção da reforma e ampliação da UAIP I. * www.compras.gov.br *,10101
"- Contratação de empresa especializada em engenharia para elaboração de estudo de concepção, serviços de apoio técnico, estudo ambiental, projeto básico e projeto executivo de sistema de esgotamento sanitário para a zona urbana do município d...",30201
- Contratação de empresa especializada para construção de quadra escolar coberta com vestiário tipo 02 na escola municipal Duque de Caxias * www.compras.gov.br *,10101
- Execução de obras para Implantação da Arena Meu Campinho e Quadra de Areia em Lerroville. * www.compras.gov.br *,10205
"- Contratação de empresa especializada para execução de obras de contenções em áreas de riscos no município de Poá/SP, conforme solicitação da Secretaria Municipal de Obras Públicas. * www.compras.gov.br *",10206
"- Contratação de pessoa jurídica para execução de obra de implantação de trevo de acesso ao balneário municipal, na rodovia pr-317, altura do km 463+833m, neste município, de acordo com os projetos, memoriais descritivos, cronogramas físico-fi...",10201
"- Contratação de empresa especializada para realizar a construção do novo mercado público do município de São Bento - PB, conforme projeto e especificações técnicas * www.compras.gov.br *",10101
"- Contratação de empresa especializada para fornecimento e instalação de sistema de geração de energia solar fotovoltaica conectada à rede no município de Mirassol D´Oeste, para ampliação da capacidade de geração de energia do TRT 23ª Regi...",10208
"- Contratação de empresa de engenharia para construção da praça do baiano, localizada na Vila Capistrano de Abreu, no Município de Marabá-PA * www.compras.gov.br *",10205
"- Contratação de obra de reforma no ginásio de esportes Professor Ferdinando Lizzoni do Distrito de Iguiporã, através do Termo de Convênio n¨ 299/2024 - SECID * www.compras.gov.br *",10205
"- Execução de obra de construção de uma praça no bairro São Francisco, através do Convênio n¨ 641/2022 - SECID * www.compras.gov.br *",10205
"- Contratação de empresas de engenharia para Execução de Obras de Infraestrutura da 1¨ Etapa de Implantação do Loteamento Industrial Nascer do Sol, com área total de 211.640,64m² na Linha São Sebastião, no Município de Xanxerê, conforme pro...",10205
"- Contratação de empresa especializada para realização de construção de vestiário do campo de futebol localizado na Praça Amélio Borin, com fornecimento de material, mão de obra e ferramental necessários. * www.compras.gov.br *",10205
" Contratação de pessoa jurídica habilitada, devidamente inscrita nos órgãos competentes, para avaliação de problemas de infiltrações, umidades, fissuras, trincos nas paredes e descolamento de pisos de cerâmica, bem como elaboração de Projeto...",30101
IMPLANTAÇÃO DE PARQUE URBANO NO LAZER - REMANESCENTE DE OBRA OBJETO DO CONVENIO 224/2021 JUNTO AO INSTITUTO ÁGUA E TERRA DO PARANÁ,10205
"CONSTRUÇÃO DA PRAÇA DA JUVENTUDE, NO MUNICÍPIO DE SÃO DOMINGOS DO ARAGUAIA, ATRAVÉS DO CONVÊNIO Nº 28/2024-SEOP, FIRMADO JUNTO À SECRETARIA DE ESTADO DE OBRAS PÚBLICAS - SEOP.",10205
"Contratação de empresa para a prestação de serviços de manutenção preventiva e corretiva de ambientes, compreendendo toda a infraestrutura, tais como instalações civis, elétricas, hidráulicas, cabeamento estruturado, prevenção e combate a in...",10110
"Contratação de empresa para a prestação de serviços de manutenção preventiva e corretiva de ambientes, compreendendo toda a infraestrutura, tais como instalações civis, elétricas, hidráulicas, cabeamento estruturado, prevenção e combate a in...",10110
"Pregão Eletrônico nº 21/2024, para o registro de preços para contratação de empresa para prestação de serviços de mão de obra de pedreiro, ajudante de pedreiro, serviços de pintura, serviços de eletricista e serviços de encanador hidráulico...",10110
"Contratação de empresa especializada em engenharia para elaboração de estudo de concepção, serviços de apoio técnico, estudo ambiental, projeto básico e projeto executivo de sistema de esgotamento sanitário para a zona urbana do município de P...",30201
"REGISTRO DE PREÇO PARA EVENTUAL  CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA FORNECIMENTO  DE MATERIAL E MÃO DE OBRA PARA INSTALAÇÃO DE MICRO SISTEMAS  DE GERAÇÃO DE ENERGIA SOLAR FOTOVOLTAICA OFF-GRID,  INCLUINDO A ELABORAÇÃO DO PROJETO, FORNECI...",10208
CONTRATAÇÃO DE SERVIÇO DE SONDAGEM SPT,40101
"SERVIÇO DE ELABORAÇÃO DE PROJETOS DE RECAPE SOBRE PEDRAS IRREGULARES, READEQUAÇÃO DA ESTRADA DAS FAIXAS DE DOMÍNIO DAS PEDRAS IRREGULARES E ACOMPANHAMENTO NA EXECUÇÃO - ESTRADA CIDADE SENTIDO ALTO SÃO JOÃO - TRECHO DE 5,9 KM. ELABORAÇÃO DE PR...",10201
"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO DA ETAPA 03 DA REDE DE ABASTECIMENTO DE ÁGUA DA LINHA SÃO FELIX, COMPREENDENDO A ATUALIZAÇÃO HIDRÁULICA, CONFORME PROJETO DE ENGENHARIA CONSTANTE NO ANEXO ""A"" DO EDITAL.",10209
"Contratação de empresa para o fornecimento de material e mão de obra para a Reforma e Ampliação da Unidade Básica de Saúde do Bairro Nazaré, conforme projetos e descritivos em anexo, através das Emendas Parlamentares sob nº 32980009 e nº 20230...",10101
"CONTRATAÇÃO DE EMPRESA, TIPO EMPREITADA GLOBAL, MATERIAL E MÃO DE OBRA, PARA EXECUÇÃO DE OBRA DE REFORMA DA QUADRA DE ESPORTES E VESTIÁRIO PÚBLICO LOCALIZADA NA PRAÇA CAMILO MÉRCIO, CONFORME JUSTIFICATIVA TÉCNICA, ESTUDO TÉCNICO PRELIMINAR,...",10205
"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NO RAMO DE ARQUITETURA OU ENGENHARIA CIVIL PARA REFORMA DA PRAÇA ANÍSIO CARNEIRO, NO MUNICIPIO DE TUPÃ/SP.",10205
"Referente a contratação de empresa para fornecimento dos seguintes serviços mecanizados e manuais de limpeza urbana: Capina mecanizada de vias públicas, Limpeza e conservação de praças, parques e praias públicas, Roçada mecanizada, Varrição ma...",20203
"A contratação de empresa do ramo de engenharia/infraestrutura urbana, para execução de serviços de restauração de diversas vias públicas do Município, por meio de recapeamento asfáltico com CBUQ - Concreto Betuminoso Usinado à Quente, contempl...",10205
"Para abertura de Processo Licitatório referente: CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO DE OBRA DE CONSTRUÇÃO/IMPLANTAÇÃO DE CALÇADÃO, SITUADO NA AV. OLAVO MORAES, TRECHO COMPREENDIDO ENTRE AS RUAS JÚLIO DE CASTILHOS E AV. PRESIDE...",10205
"EXECUÇÃO DE OBRA TIPO: Revitalização da Praça Novo Bairro, Área total de 510,77 m². CONFORME PROJETO, MEMORIAL DESCRITIVO, TERMO DE REFERÊNCIA E PLANILHA ORÇAMENTÁRIA EM ANEXO AO EDITAL",10205
REF. CONTRATAÇÃO DE SERVIÇO DE LEVANTAMENTO TOPOGRAFICO E ESTUDO GEOTECNICO/GEOLÓGICO,40101
Contratação de empresa para reforma do telhado do velório municipal.,10101
"Contratação de empresa especializada para execução de reforma com fornecimento de material e mão de obra na sala destinada a abrigar a equipe administrativa e técnica da Alimentação Escolar, localizada no Prédio Administrativo da CEASA Campinas,...",10101
"EXECUÇÃO DAS MELHORIAS NA ESTAÇÃO DE TRATAMENTO, SISTEMA DE ABASTECIMENTO DE ÁGUA DE ANDREZA E ITAPEIM E AMPLIAÇÃO DA REDE DE DISTRIBUIÇÃO DA COMUNIDADE DE CÓRREGO DOS MOREIRAS E GROSSOS 5 ESTRELAS, EM BEBERIBE-CE, OBJETO DO GOVERNO DO ESTADO ...",10209
"PRESTAÇÃO DE SERVIÇOS NA CONSTRUÇÃO DE ANEXO PARA INSTALAÇÕES DOS SETORES NECESSÁRIOS PARA O FUNCIONAMENTO DAS ATIVIDADES ADMINISTRATIVAS DA CÂMARA MUNICIPAL DE OCARA, CONFORME PROJETO BÁSICO.",10101
"Contratação de Prestação de Serviços para Elaboração de Plano de Reabilitação de Área Degradada e Estudo para Avaliação Preliminar e Elaboração de Projeto Básico de Sistema de Proteção Ambiental da Área em que se encontra o ""Lixão Muni...",30201
"Contratação de empresa especializada para execução de reservatório para detenção de águas pluviais na Rua José Lopes Silva trecho sem saída próximo ao cruzamento com a Rua Rita Ismael, na cidade de Leme/SP, conforme o Termo de Referência Anex...",10203
"CREDENCIAMENTO PARA CONTRATAÇÃO DE EMPRESAS ESPECIALIZADAS NA PRESTAÇÃO DE SERVIÇOS DE JARDINAGEM DO TIPO CAPINAÇÃO DE GRAMA, LIMPEZA SUPERFICIAL DE TERRENO, PODA DE GRAMA E PODA DE ARVORES EM ATENDIMENTO AS SECRETARIAS MUNICIPAIS DE MATUPÁ/MT.",20203
"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM EXECUÇÃO DO PROJETO DE CLIMATIZAÇÃO PARA O AUDITÓRIO DO CENTRO DE CONVENÇÕES DA SECRETARIA DE EDUCAÇÃO, CULTURA E TURISMO. * https://bnccompras.com *",10110
"O OBJETO DA PRESENTE LICITAÇÃO CONSISTE NA CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NO RAMO DE OBRAS E SERVIÇOS DE ENGENHARIA PARA EXECUÇÃO DE UM MURO EM ALVENARIA COM ALAMBRADO E DRENAGEM PLUVIAL COM ÁREA TOTAL DE 287,37 METROS QUADRADOS ANEXO AO ES...",10205
"MELHORIAS PREDIAIS NA ETA DE IBITITÁ, EM ATENDIMENTO AO ACORDO COM TAC/MPT. * http://www.licitacoes-e.com.br *",10209
"Contratação de empresas de engenharia para Execução de Obras de Infraestrutura da 1° Etapa de Implantação do Loteamento Industrial Nascer do Sol, com área total de 211.640,64m² na Linha São Sebastião, no Município de Xanxerê, conforme projet...",10205
"Contratação de empresa de engenharia para a execução de serviços comuns de engenharia consistentes na reforma e pintura do Edifício Arnaldo de Oliveira Resende, sede do Poder Legislativo do Município de Entre Rios de Minas/MG, incluindo nesta pres...",10101
"Reforma e Requalificação do Conjunto Chácara Flora, bairro - Castelânea, no município de Petrópolis-RJ.",10101
"O Objetivo Do Presente Termo Consiste Na Contratação De Empresa Especializada Para Construção De Uma Pista De Skate Projetada Na Modalidade Street, Localizada No Centro Esportivo De Tamarana, Visando O Incentivo Da Prática De Esportes E Desenvolvime...",10205
"Contratação de empresa especializada para execução do projeto de sonorização para o auditório do Centro de Convenções da Secretaria de Educação, Cultura e Turismo.",10110
"CONTRATAÇÃO DE SERVIÇO DE ENGENHARIA PARA CONSTRUÇÃO DA CASA DE BOMBAS, SALAS DE CLORAÇÃO E FLURETAÇÃO SANITÁRIO , FECHAMENTO E BASE DO RESERVATÓRIO, DO POÇO 52, COM FORNECIMENTO DE MATERIAIS, MÃO DE OBRA, CONFORME PROJETO BÁSICO, MEMORIAL ...",10209
"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA A CONSTRUÇÃO DE DOIS GABINETES ADICIONAIS NA CÂMARA MUNICIPAL DE CRISTALINA, CONFORME ESPECIFICAÇÕES TÉCNICAS DO MEMORIAL DESCRITIVO, PROJETOS, ETP, PROJETO BÁSICO E REGULAMENTO ESPECÍFICO, VISANDO ATE...",10101
Contratação de Empresa de engenharia para execução dos serviços de Reforma e Requalificação das Escolas Brigadeiro Aldo Pinhos Alves e Min João Fonseca. * https://bnccompras.com *,10101
Contratação de Empresa Especializada para Serviço de Construção e Ajuste de Pontes.  * https://bllcompras.com *,10204
"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS DE RECEBIMENTO DE RESÍDUOS SÓLIDOS URBANOS CLASSE II-A EM ESTAÇÃO DE TRANSBORDO, FORNECIMENTO DE CARRETA/CAÇAMBA, TRANSPORTE, DESTINAÇÃO E DISPOSIÇÃO FINAL DOS RESÍDUOS SÓLID...",20201
"Contratação de empresa para execução dos serviços de limpeza mecanizada, tipo sucção a vácuo e hidrojateamento, dos poços de visita pv's na capital Boa Vista, para atender as necessidades da companhia de águas e esgotos de roraima - CAER",20102
"Contratação de empresa de engenharia especializada para execução  de reforma na unidade de saúde Maria Ribeiro, localizada no Centro, no Município de Agrestina/PE. * https://bnccompras.com *",10101
Contratação de Empresa para emissão de autorização de desassoreamento de cursos d'água lêntico ou lótico e procedimento de limpeza/desassoreamento do lago. * http://www.licitacoes-e.com.br *,30201
Execução da obra de reforma da rede de esgoto do Presídio Estadual de Lajeado - RS.,10110
"AMPLIAÇÃO DO SISTEMA DE ESGOTAMENTO SANITÁRIO DE CAMAÇARI COM IMPLANTAÇÃO DE ESTAÇÃO ELEVATÓRIA DE ESGOTO, REDE COLETORA, REDES AUXILIARES E RAMAIS PREDIAIS COM ATENDIMENTO DE SOLICITAÇÃO DE SERVIÇO SS, MOBILIZAÇÃO SOCIAL, EDUCAÇÃO AMBIEN...",10209
"contratação de empresa, para construção de piscina em concreto armado e conclusão de vestiário no Centro de Recuperação Física Municipal.",10205
AMPLIAÇÃO CENTRO DE SAÚDE - CONCLUSÃO DOS SERVIÇOS PARA A INSTAÇÃO DO CEO,10101
"Obra de Reforma da quadra, vestiário e cozinha, localizada na Av. Nossa Senhora da Conceição nº213, Conforto, Volta Redonda/ RJ",10205
ADEQUAÇÃO ESTRADA VICINAIS * https://bllcompras.com *,10201
"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA ÁREA DE ENGENHARIA PARA EXECUÇÃO DE SERVIÇOS DE REVISÃO DO PLANO MUNICIPAL INTEGRADO DE SANEAMENTO BÁSCIO DE SANTA LÚCIA, NOS TERMOS DO CONTRATO FEHIDRO Nº 502/2023, CELEBRADO ENTRE O MUNICIPIO DE SANTA ...",30201
"Contratação de Fornecimento e Instalação de Sistema de Gradeamento Mecanizado de múltiplos rastelos com Rosca Transportadora de Sólidos para uso na Estação de Tratamento de Esgoto Caça e Tiro - Lages, SC.",10209
"REGISTRO DE PREÇOS PARA FUTURA E EVENTUAL CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EMISSÃO DE LAUDO TÉCNICO DAS CONDIÇÕES AMBIENTAIS DO TRABALHO - LTCAT, LAUDO DE INSALUBRIDADE - LI, LAUDO DE PERICULOSIDADE - LP, PROGRAMAS DE GERENCIAMENTO DE RIS...",30101
"Contratação de empresa para execução de fechamento da oficina e adequação de gradis da Escola SENAI Avak Bedouian, no Município de Birigui, SP.",10307
"Contratação de empresa especializada para a Execução de obra de Pavimentação Asfáltica da Estrada Vicinal de Acesso ao povoado do Caetano, zona rural, no Município de Luziânia-GO, junto a Secretaria Municipal de Desenvolvimento Urbano * https:/...",10201
CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS DE IMPLANTAÇÃO DE POÇOS NO  MUNICÍPIO DE SÃO JOÃO BATISTA -MA. * https://licitanet.com.br *,10209
Contratação de empresa de consultoria de apoio ao gerenciamento do programa de macrodrenagem da bacia hidrográfica do igarapé do mata fome em Belém do Pará - PROMMAF,30201
"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA ELABORAÇÃO DE PROJETOS EXECUTIVOS COMPLEMENTARES, COM METODOLOGIABIM MODELAGEM DA INFORMAÇÃO DA CONSTRUÇÃO, PARA A REFORMA DO CINE TEATRO PREFEITO MÁRIO MATAREZI, ANTIGO CINE TEATRO GUANABARA, NOVA UNID...",30101
"ELABORACAO DE PROJETO HIDRAULICO COM PROJETOS BASICOS COMPLEMENTARES PARA AMPLIACAO DA PRODUCAO DE AGUA OPERACIONALIZACAO DO POCO TUBULAR PROFUNDO P12 NO SISTEMA DE ABASTECIMENTO DE AGUA DO MUNICIPIO DE DOIS VIZINHOS, CONFORME DETALHADO NOS ANEXOS DO EDI...",30201
"CONTRATAÇÃO DE EMPRESA PARA RETOMADA DA OBRA DA QUADRA POLIESPORTIVA NA ESCOLA MUNICIPAL SÃO GERALDO, LOCALIZADA NO BAIRRO SÃO BENTO * https://ammlicita.org.br/ *",10101
CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO DE AMPLIAÇÃO DA ESCOLA MUNICIPAL DURVALINA DE OLIVEIRA CUNHA NA SEDE MUNICÍPIO DE GAVIÃO-BA. * https://sistema.novobbmnet.com.br *,10101
"Contrat. de empresa Especial. em locação de caçambas estacionárias p/ coleta e transp. dos resíduos sólidos e secos em div. pontos do Mun., abrangendo o Proj. Caçamba Comunitária em atendim. à Secr. Mun. de Agric. e Meio Ambiente do Mun. Osv. Cruz",20201
SERVIÇOS DE PAVIMENTAÇÃO ASFÁLTICA DE VIAS URBANAS COM DRENAGEM E CALÇADAS NO MUNICÍPIO DE SANTA QUITÉRIA DO MARANHÃO/MA - ** www.comprasbr.com.br **,10205
"Execução das obras implantação de monumento turístico com área de descanso e lazer para contemplação dos Canyons na Avenida Pe. Herval Fontanella, Bairro Figueira, município de Jacinto Machado",10205
"- Contratação de empresa para recuperação da erosão e sistema de drenagem pluvial da rua Caetano Vidotto, Rubião Junior. * www.compras.gov.br *",10205
"CONSTRUÇÃO DE CENTRO DE REFERÊNCIA ESPECIALIZADO DE ASSISTÊNCIA SOCIAL - CREAS, NO MUNICÍPIO DE POMBAL - PB, CONTRATO DE REPASSE n° 1088592-57/2023, SICONV 943907, MINISTÉRIO DO DESENVOLVIMENTO, ASSISTÊNCIA SOCIAL, FAMÍLIA E COMBATE À FOME",10101
- Contratação de empresa para execução de obras de drenagem e pavimentação na Avenida das Nações Unidas bairro Vila Nova. * www.compras.gov.br *,10205
"- Contratação de pessoa jurídica especializada para elaboração dos projetos executivos e execução da revitalização do Chafariz da Praça Getúlio Vargas, situada na Avenida Inglaterra, 1070-1164, Centro, neste Município, abrangendo a adequaç...",10205
"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO DA SEXTA ETAPA DOS SERVIÇOS DE FORNECIMENTO, INSTALAÇÃO E EXECUÇÃO DA SUBSTITUIÇÃO DAS LUMINÁRIAS EXISTENTES POR LUMINÁRIAS DE LED PERTENCENTES AO PARQUE DE ILUMINAÇÃO PÚBLICA DO MUNICÍP...",10208
"Credenciamento de pessoas jurídicas para prestação de serviços técnicos de Engenharia e Arquitetura nas atividades de: Elaboração e Análise de Projetos, Elaboração e Análise de Orçamentos, conforme termo de referencia, por um período de 24 m...",30101
"RECUPERAÇÃO DE ESTRADAS VICINAIS NO MUNICÍPIO DE RIACHÃO - MA, que tem por critério de julgamento o menor valor global",10201
"- Contratação de empresa especializada para execução do remanescente do Centro de Convivência na Alameda da Frincasa, no Bairro Nova Brasília, no Município de Cariacica * www.compras.gov.br *",10101
"SERVIÇO DE RECUPERAÇÃO DE ESTRADAS VICINAIS, BATIÇÃO DE ESTRADAS, LIMPEZA DE DESCIDA DA ÁGUA E SARGETAS, RECOMPOSIÇÃO DE MEIO-FIO E RECOMPOSIÇÃO DE PAVIMENTAÇÃO NA SEDE, DISTRITOS E LOCALIDADES DO MUNICÍPIO DE REDENÇÃO-CE",10201
"Contratação de empresa de engenharia para execução de prolongamento e reparos de vias nas comunidades Malaquias, Faxina, São José, Coqueiros, Borges, Mata Escura, Ponte Coronel, Café Nacional, Chácara Velha, Vargem da Lua e Rio Claro no municípi...",10205
Revitalização de Acessos da Rua Jornalista José Geraldo da Costa e Alameda José Geraldo da Costa. - Icaraí- Niteroi/RJ.,10205
"Execução dos serviços de montagem de layouts e ambientação, incluindo adequações civis, elétricas e hidráulicas, além do apoio para atender as necessidades de infraestrutura para as atividades programáticas de inauguração e nos primeiros mes...",10101
Execução dos Serviços de Adequação das Instalações Elétricas do Auditório da Unidade Santos https://portallc.sescsp.org.br/Default.aspx,10110
"Contratação de empresa para execução de construção de galpão de resíduos no interior de terreno municipal, mediante solicitação da Secretaria Municipal de Desenvolvimento Econômico.",10101
"REGISTRO DE PREÇOS PARA AQUISIÇÃO E INSTALAÇÃO DE EQUIPAMENTOS DO TIPO: ACADEMIA AO AR LIVRE, PARQUE INFANTIL DO TIPO PLAYGROUND, BANCO DE JARDIM, ENTRE OUTROS, PARA EQUIPAR A INFRAESTRUTURA DO MUNICÍPIO DE PEDRÃO/BAHIA",10205
- Manutenção com execução de juntas de dilatação termo elásticas para Obras de Arte Especiais de Belo Horizonte * www.compras.gov.br *,10204
Contratação de empresa especializada para prestação de serviços continuados de: manutenção preventiva e corretiva do mercado público no município de Florianópolis/SC. https://wbc.pmf.sc.gov.br/Portal/Mural.aspx,10110
"- Contratação de empresa especializada para calçamento em bloquete sextavado de concreto e em bloco intertravado de concreto em parada de ônibus de Brás Pires, com fornecimento de materiais e mão de obra. * www.compras.gov.br *",10205
"- Contratação de empresa especializada para construção de cobertura metálica na praça São Vicente, com fornecimento de materiais e mão de obra. * www.compras.gov.br *",10205
"REGISTRO DE PREÇO PARA EVENTUAL CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇOS DE MANUTENÇÃO DE POÇO ARTESIANO, PARA AQUISIÇÃO DE MOTOBOMBA E INSTALAÇÃO E DESINSTALAÇÃO JUNTO AO MUNICÍPIO DE DESCANSO/SC, DE ACORDO COM O ESTUDO TECNICO PRE...",10209
- Recuperação estrutural das paredes e lajes de piso e teto da galeria do Córrego Renascença * www.compras.gov.br *,10205
"Contratação de empresa especializada para execução das obras de pavimentação asfáltica, drenagem e serviços complementares na Rua Antônio Francisco de Souza - Santa Terezinha - Cajamar, conforme condições estabelecidas nesse instrumento convoc...",10205
"Contratação de empresa especializada para execução da obra de Recape Asfáltico, Drenagem e Sinalização em várias ruas. * https://bllcompras.com *",10205
